Date : 2022-11-12 22:13:50
Directory : /Users/darrellparkhouse/projects/leet-code
Total : 84 files,  1963 codes, 635 comments, 344 blanks, all 2942 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| /Users/darrellparkhouse/projects/leet-code/easy/merge-two-lists.js                              | JavaScript |         22 |         13 |          1 |         36 |
| /Users/darrellparkhouse/projects/leet-code/easy/min-depth.js                                    | JavaScript |         26 |          1 |          7 |         34 |
| /Users/darrellparkhouse/projects/leet-code/easy/pascals-triangle-11.js                          | JavaScript |         28 |          6 |          4 |         38 |
| /Users/darrellparkhouse/projects/leet-code/easy/pascals-triangle.js                             | JavaScript |         12 |          7 |          1 |         20 |
| /Users/darrellparkhouse/projects/leet-code/easy/path-sum.js                                     | JavaScript |          8 |         14 |          1 |         23 |
| /Users/darrellparkhouse/projects/leet-code/easy/plus-one.js                                     | JavaScript |         11 |          8 |          0 |         19 |
| /Users/darrellparkhouse/projects/leet-code/easy/remove-dups-sorted-list.js                      | JavaScript |         26 |         29 |          5 |         60 |
| /Users/darrellparkhouse/projects/leet-code/easy/remove-element.js                               | JavaScript |         10 |         22 |          0 |         32 |
| /Users/darrellparkhouse/projects/leet-code/easy/removeDuplicates.js                             | JavaScript |         10 |         20 |          1 |         31 |
| /Users/darrellparkhouse/projects/leet-code/easy/reverse-list.js                                 | JavaScript |         27 |          7 |          7 |         41 |
| /Users/darrellparkhouse/projects/leet-code/easy/romanToInteger.js                               | JavaScript |         22 |         27 |          0 |         49 |
| /Users/darrellparkhouse/projects/leet-code/easy/same-tree.js                                    | JavaScript |         24 |         14 |          4 |         42 |
| /Users/darrellparkhouse/projects/leet-code/easy/search-insert-pos.js                            | JavaScript |         16 |          7 |          0 |         23 |
| /Users/darrellparkhouse/projects/leet-code/easy/single-number.js                                | JavaScript |         17 |          2 |          5 |         24 |
| /Users/darrellparkhouse/projects/leet-code/easy/singleNumber.js                                 | JavaScript |          7 |          7 |          0 |         14 |
| /Users/darrellparkhouse/projects/leet-code/easy/sortArraytoBST.js                               | JavaScript |         20 |          6 |          2 |         28 |
| /Users/darrellparkhouse/projects/leet-code/easy/sqrt.js                                         | JavaScript |         39 |         27 |          9 |         75 |
| /Users/darrellparkhouse/projects/leet-code/easy/stack-using-queues.js                           | JavaScript |         36 |         15 |          7 |         58 |
| /Users/darrellparkhouse/projects/leet-code/easy/twoSum.js                                       | JavaScript |         10 |         13 |          3 |         26 |
| /Users/darrellparkhouse/projects/leet-code/easy/valid-palindrome.js                             | JavaScript |         20 |          7 |          1 |         28 |
| /Users/darrellparkhouse/projects/leet-code/easy/validParentheses.js                             | JavaScript |         19 |          0 |          5 |         24 |
| /Users/darrellparkhouse/projects/leet-code/hard/candy.js                                        | JavaScript |         54 |         41 |          8 |        103 |
| /Users/darrellparkhouse/projects/leet-code/hard/directed-graph/dijkstra.js                      | JavaScript |         31 |         19 |          1 |         51 |
| /Users/darrellparkhouse/projects/leet-code/hard/directed-graph/eulerian-cycle.js                | JavaScript |         59 |         12 |         22 |         93 |
| /Users/darrellparkhouse/projects/leet-code/hard/directed-graph/kosaraju.js                      | JavaScript |         47 |         20 |          1 |         68 |
| /Users/darrellparkhouse/projects/leet-code/hard/directed-graph/tarjan.js                        | JavaScript |         39 |         14 |          1 |         54 |
| /Users/darrellparkhouse/projects/leet-code/hard/find-median-sorted-array.js                     | JavaScript |          5 |          8 |          2 |         15 |
| /Users/darrellparkhouse/projects/leet-code/hard/min-num-of-operations-to-make-arrays-similar.js | JavaScript |          2 |          0 |          1 |          3 |
| /Users/darrellparkhouse/projects/leet-code/hard/nqueen.js                                       | JavaScript |         38 |          9 |          0 |         47 |
| /Users/darrellparkhouse/projects/leet-code/hard/palindrome-partitioning-ii.js                   | JavaScript |         22 |          0 |          0 |         22 |
| /Users/darrellparkhouse/projects/leet-code/hard/password-strength-checker.js                    | JavaScript |         47 |         47 |         20 |        114 |
| /Users/darrellparkhouse/projects/leet-code/hard/remove-dups-sorted-array-2.js                   | JavaScript |         10 |         19 |          1 |         30 |
| /Users/darrellparkhouse/projects/leet-code/hard/sudoku-solver.js                                | JavaScript |         49 |         10 |          1 |         60 |
| /Users/darrellparkhouse/projects/leet-code/hard/word-ladder.js                                  | JavaScript |         24 |         10 |          1 |         35 |
| /Users/darrellparkhouse/projects/leet-code/medium/,aax-area.js                                  | JavaScript |         29 |          9 |          4 |         42 |
| /Users/darrellparkhouse/projects/leet-code/medium/addTwoNumbers.js                              | JavaScript |         23 |          7 |          0 |         30 |
| /Users/darrellparkhouse/projects/leet-code/medium/coderbytes/binary-tree.js                     | JavaScript |         35 |          0 |         10 |         45 |
| /Users/darrellparkhouse/projects/leet-code/medium/coderbytes/findMinWindow.js                   | JavaScript |         21 |          0 |          6 |         27 |
| /Users/darrellparkhouse/projects/leet-code/medium/coderbytes/findPair.js                        | JavaScript |         22 |          0 |          2 |         24 |
| /Users/darrellparkhouse/projects/leet-code/medium/count-battle-ships-dfs.js                     | JavaScript |         40 |          2 |         10 |         52 |
| /Users/darrellparkhouse/projects/leet-code/medium/find-right-interval.js                        | JavaScript |         36 |          6 |         10 |         52 |
| /Users/darrellparkhouse/projects/leet-code/medium/longestPalindrome.js                          | JavaScript |         19 |          6 |          2 |         27 |
| /Users/darrellparkhouse/projects/leet-code/medium/longet-substring-without-repeating-chars.js   | JavaScript |         14 |          4 |          0 |         18 |
| /Users/darrellparkhouse/projects/leet-code/medium/multiply-strings.js                           | JavaScript |         22 |          7 |          5 |         34 |
| /Users/darrellparkhouse/projects/leet-code/medium/reverse-digits.js                             | JavaScript |         21 |          2 |          7 |         30 |
| /Users/darrellparkhouse/projects/leet-code/medium/reverse-int.js                                | JavaScript |          8 |          7 |          0 |         15 |
| /Users/darrellparkhouse/projects/leet-code/medium/swap-pairs.js                                 | JavaScript |         15 |          0 |          4 |         19 |
| /Users/darrellparkhouse/projects/leet-code/medium/zigzag.js                                     | JavaScript |         65 |          0 |         14 |         79 |
| Total                                                                                           |            |      1,963 |        635 |        344 |      2,942 |
+-------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
