"filename", "language", "JavaScript", "comment", "blank", "total"
"/Users/darrellparkhouse/projects/leet-code/easy/path-sum.js", "JavaScript", 8, 0, 0, 8
"/Users/darrellparkhouse/projects/leet-code/medium/coderbytes/findPair.js", "JavaScript", 9, -9, 0, 0
"Total", "-", 17, -9, 0, 8
