"filename", "language", "JavaScript", "comment", "blank", "total"
"/Users/darrellparkhouse/projects/leet-code/easy/contains-nearby-duplicates.js", "JavaScript", 10, 0, 4, 14
"/Users/darrellparkhouse/projects/leet-code/easy/invert-binary-tree.js", "JavaScript", 1, 26, 0, 27
"/Users/darrellparkhouse/projects/leet-code/easy/list-has-cycle.js", "JavaScript", 11, 4, 4, 19
"/Users/darrellparkhouse/projects/leet-code/easy/longestCommonPrefix.js", "JavaScript", 21, 7, 9, 37
"/Users/darrellparkhouse/projects/leet-code/easy/range-summary.js", "JavaScript", 40, 13, 5, 58
"Total", "-", 83, 50, 22, 155
